,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
411,1226.9399999999998,766.965787,6.454285599359931,3.5614133944392266,1.1929960708546137e-05,1.1929960708546137e-05,31271.53257073865,17938.254224238834,6.454285599359931,3.5614133944392266,0.0001943011286977,0.0001943011286977,14522.997353196855,14522.997353196855,COMDOY,UFF_EQeq
412,1009.25,799.527088,10.833429500906377,2.758662600712446,8.189029934019521e-06,8.189029934019521e-06,28601.332901009417,19316.456585209344,10.833429500906377,2.758662600712446,0.0001397488257119,0.0001397488257119,13484.356709440148,13484.356709440148,OWAVOY,UFF_EQeq
413,1918.54,714.149633,2.342535976994053,0.2744685374782167,6.836634470004594e-06,6.836634470004594e-06,29353.383263151707,19466.675795532217,2.342535976994053,0.2744685374782167,6.748716120818981e-05,6.748716120818981e-05,16469.52020840928,16469.52020840928,RATDAS02,UFF_EQeq
414,1552.24,864.463947,1.5257366610979748,0.5958959509458163,1.0912758178531852e-05,1.0912758178531852e-05,38842.48962959533,26952.591088018773,1.5257366610979748,0.5958959509458163,0.0002238514863276,0.0002238514863276,19822.481101011683,19822.481101011683,KAXQIL,UFF_EQeq
415,1241.39,892.0648669999999,4.045575525593166,3.1067226702800923,2.808701053915975e-06,2.808701053915975e-06,36473.09406130918,22562.04320058495,4.045575525593166,3.1067226702800923,4.266665704103134e-05,4.266665704103134e-05,17545.04239496942,17545.04239496942,KEXKEF,UFF_EQeq
416,1125.17,823.390567,7.031952029891563,1.7203915117866946,1.0810116262913435e-05,1.0810116262913435e-05,27945.899536163943,18671.658432115128,7.031952029891563,1.7203915117866946,9.129487695960336e-05,9.129487695960336e-05,14892.021222444788,14892.021222444788,YAXBOP,UFF_EQeq
417,1734.24,756.600235,3.0518208242031544,1.1666508149256558,8.569637184008465e-06,8.569637184008465e-06,45000.0,35127.83453884354,3.0518208242031544,1.1666508149256558,0.0003958047183623,0.0003958047183623,19196.18924337938,19196.18924337938,GOMREG,UFF_EQeq
418,1032.25,765.736726,7.257230351996221,4.439957369637463,4.563759876293272e-06,4.563759876293272e-06,29728.949485426147,29728.82246704496,7.257230351996221,4.439957369637463,0.0001419235302403,0.0001419235302403,12987.36221810251,12987.36221810251,SAKRED,UFF_EQeq
419,983.709,913.346839,7.847256614347586,4.635076943784164,1.0044443287513456e-05,1.0044443287513456e-05,27205.81205475069,19116.728356141364,7.847256614347586,4.635076943784164,7.319158877024967e-05,7.319158877024967e-05,14886.103749492622,14886.103749492622,FUTKEL,UFF_EQeq
420,1651.92,709.047458,2.137158608878213,1.0355730237396117,1.6860481298778446e-06,1.6860481298778446e-06,42239.91913546249,25203.303945772062,2.137158608878213,1.0355730237396117,4.845095725945735e-05,4.845095725945735e-05,19348.31216194559,19348.31216194559,APEBED,UFF_EQeq
