# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,3.552000000000000144e-04,5.165200000000000000e-03,1.689200000000000076e-03,1.107990000000000017e-02
2.000000000000000000e+02,4.784999999999999757e-04,5.870300000000000171e-03,3.436400000000000045e-03,1.580940000000000123e-02
5.000000000000000000e+02,1.160000000000000007e-03,9.096699999999999231e-03,8.076299999999999799e-03,2.426129999999999953e-02
1.000000000000000000e+03,2.885400000000000204e-03,1.439329999999999950e-02,1.578999999999999848e-02,3.393970000000000320e-02
2.000000000000000000e+03,5.132799999999999863e-03,1.934309999999999849e-02,3.209479999999999972e-02,4.883339999999999903e-02
5.000000000000000000e+03,1.286840000000000032e-02,3.051749999999999949e-02,8.271270000000000011e-02,6.445770000000000666e-02
1.000000000000000000e+04,2.524370000000000086e-02,4.236979999999999913e-02,1.636492999999999975e-01,8.793330000000000590e-02
2.000000000000000000e+04,4.837049999999999683e-02,5.902430000000000176e-02,3.097829999999999750e-01,1.272999999999999965e-01
5.000000000000000000e+04,1.149374999999999980e-01,8.906139999999999890e-02,7.745258999999999894e-01,1.840310000000000001e-01
1.000000000000000000e+05,1.992472999999999883e-01,1.178623000000000032e-01,1.338017999999999930e+00,2.330191000000000068e-01
2.000000000000000000e+05,3.111096999999999890e-01,1.460905999999999871e-01,2.190165299999999871e+00,2.855534000000000128e-01
5.000000000000000000e+05,4.637099000000000082e-01,1.741806999999999939e-01,3.465357800000000044e+00,2.871168000000000053e-01
1.000000000000000000e+06,5.424096000000000473e-01,1.642975000000000130e-01,4.325974399999999775e+00,2.719696999999999809e-01
