# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,3.624000000000000268e-04,4.551999999999999623e-03,2.818999999999999891e-03,1.304319999999999959e-02
2.000000000000000000e+02,7.766999999999999599e-04,6.688900000000000227e-03,6.432000000000000217e-03,1.905509999999999843e-02
5.000000000000000000e+02,1.961800000000000089e-03,1.066079999999999979e-02,1.488920000000000000e-02,2.922369999999999829e-02
1.000000000000000000e+03,4.004200000000000294e-03,1.506359999999999991e-02,2.932380000000000056e-02,4.104970000000000147e-02
2.000000000000000000e+03,7.467599999999999585e-03,2.080320000000000086e-02,6.087410000000000043e-02,5.868000000000000299e-02
5.000000000000000000e+03,1.855170000000000083e-02,3.275419999999999721e-02,1.496511000000000091e-01,8.233949999999999603e-02
1.000000000000000000e+04,3.805130000000000318e-02,4.648139999999999911e-02,2.828595999999999888e-01,1.056517000000000012e-01
2.000000000000000000e+04,6.942329999999999335e-02,6.277470000000000272e-02,5.668007999999999935e-01,1.448383000000000032e-01
5.000000000000000000e+04,1.489024999999999932e-01,9.066040000000000210e-02,1.195302700000000051e+00,1.950409999999999922e-01
1.000000000000000000e+05,2.330473999999999879e-01,1.122800000000000048e-01,1.987958200000000009e+00,2.450051000000000034e-01
2.000000000000000000e+05,3.273218999999999990e-01,1.319805000000000006e-01,2.939063800000000004e+00,2.605095000000000049e-01
5.000000000000000000e+05,4.455598000000000058e-01,1.357155999999999918e-01,4.265227799999999903e+00,2.557904999999999762e-01
1.000000000000000000e+06,5.153796999999999962e-01,1.476772000000000085e-01,5.199094599999999566e+00,2.443897999999999904e-01
