,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
252,994.92,852.120693,0.09089579,9.063750873,8.32E-06,8.32E-06,39061.27202,27677.09321,0.09089579,9.063750873,0.00018583,0.00018583,13781.61068,13781.61068,FUNBIA,UFF_DDEC
253,1417.64,771.807794,3.041973462,1.633785339,1.12E-06,1.12E-06,44826.9704,35692.6719,3.041973462,1.633785339,2.90E-05,2.90E-05,19289.10031,19289.10031,PAMHES01,UFF_DDEC
254,930.569,744.930459,9.166981541,6.06723587,1.27E-05,1.27E-05,29519.30829,22128.52696,9.166981541,6.06723587,0.000111508,0.000111508,14757.63391,14757.63391,VACFOV,UFF_DDEC
255,1567.7,863.037684,1.500439656,0.534993255,1.13E-05,1.13E-05,38393.03529,25497.58575,1.500439656,0.534993255,0.000169239,0.000169239,20731.81151,20731.81151,KAXQOR01,UFF_DDEC
256,796.498,771.469614,9.974571684,9.805716614,9.54E-06,9.54E-06,26939.82598,26939.68608,9.974571684,9.805716614,0.000201236,0.000201236,12297.79385,12297.79385,ICALOP,UFF_DDEC
257,1021.49,868.294689,6.821017883,2.97980737,1.13E-05,1.13E-05,25038.51736,25038.41918,6.821017883,2.97980737,0.00012807,0.00012807,11314.9075,11314.9075,BEPMIU,UFF_DDEC
258,1339,695.251823,4.705054506,3.462094922,4.81E-06,4.81E-06,36742.18225,30886.16838,4.705054506,3.462094922,0.000113864,0.000113864,15178.83741,15178.83741,XOHLEM,UFF_DDEC
259,1123.74,808.982129,2.199022979,6.447800737,7.25E-06,7.25E-06,35169.7595,26541.30919,2.199022979,6.447800737,0.000148918,0.000148918,15328.18923,15328.18923,AXOCEW,UFF_DDEC
260,1262.55,1023.573153,0.007018765,4.749898274,5.07E-06,5.07E-06,45000,45000,0.007018765,4.749898274,0.000317206,0.000317206,6002.656626,6002.656626,LIBJAJ,UFF_DDEC
261,903.126,843.729174,6.621693942,5.598363972,4.53E-05,4.53E-05,19444.60912,19443.87618,6.621693942,5.598363972,0.00013161,0.00013161,11363.304,11363.304,KAMZUV,UFF_DDEC
262,1217.57,816.244075,3.777472229,2.692337813,3.82E-06,3.82E-06,36762.55444,29739.77665,3.777472229,2.692337813,0.000100979,0.000100979,17249.28649,17249.28649,MEJQID,UFF_DDEC
263,1492.1,719.390989,3.940835956,1.689705397,1.25E-05,1.25E-05,33449.11763,20144.34394,3.940835956,1.689705397,0.000250894,0.000250894,15598.85066,15598.85066,FUWXOL,UFF_DDEC
