Name,LCD,PLD,LFPD,cm3_g,ASA_A2,ASA_m2_cm3,ASA_m2_g,NASA_A2,NASA_m2_cm3,NASA_m2_g,AV_A3,AV_VF,AV_cm3_g,NAV_A3,NAV_VF,NAV_cm3_g,OMS,chemical_formula,total_atoms
ZEDHIB,4.96253,3.33867,4.45559,1.37217,298.881,830.293,605.095,0.0,0.0,0.0,64.7948,0.018,0.0131179,0.0,0.0,0.0,4.0,Zn12H84C108N12O40,256
ZEDROR,5.08255,3.56751,5.06998,1.24486,380.305,1074.59,863.217,0.0,0.0,0.0,63.7034,0.018,0.0144594,0.0,0.0,0.0,0.0,Zn8H96C108N16O32,260
ZERQOE,4.4965,4.02903,4.49472,1.56535,60.0321,410.846,262.462,0.0,0.0,0.0,14.0274,0.0096,0.0061328,0.0,0.0,0.0,0.0,Ca4H32C56S4O24,120
ZESFUY,9.58879,8.12099,9.5611,0.865768,175.184,1757.02,2029.44,0.0,0.0,0.0,220.348,0.221,0.255265,0.0,0.0,0.0,0.0,Zn1Si1H16C20N4F6,48
ZIDDIB,4.55863,2.41066,4.54778,1.91164,0.0,0.0,0.0,113.167,224.636,117.51,0.0,0.0,0.0,24.1814,0.0048,0.00251094,0.0,In16H72C168N24O96,376
ZIF-1,6.5027,2.19055,6.5027,1.2071,0.0,0.0,0.0,201.06,915.626,758.532,0.0,0.0,0.0,126.921,0.0578,0.0478832,0.0,Zn8H48C48N32,136
ZIF-2,6.4229,5.28654,6.4229,0.928973,1118.24,1959.55,2109.37,0.0,0.0,0.0,762.404,0.1336,0.143815,0.0,0.0,0.0,0.0,Zn16H96C96N64,272
ZIF-3,8.47376,5.69377,8.47376,0.880009,1246.88,2069.8,2352.03,0.0,0.0,0.0,934.946,0.1552,0.176362,0.0,0.0,0.0,0.0,Zn16H96C96N64,272
ZIF-4,5.19108,2.48543,4.80336,1.22088,0.0,0.0,0.0,307.414,707.969,579.885,0.0,0.0,0.0,90.3177,0.0208,0.0170369,0.0,Zn16H96C96N64,272
ZIF-5,3.87741,2.16527,3.86853,1.54336,0.0,0.0,0.0,93.9215,177.331,114.9,0.0,0.0,0.0,14.8299,0.0028,0.00181423,0.0,Zn12In8H144C144N96,404
ZIF-6,9.51839,5.74397,9.10127,0.763865,1540.24,2219.33,2905.4,0.0,0.0,0.0,1701.71,0.2452,0.320999,0.0,0.0,0.0,0.0,Zn16H96C96N64,272
ZIF-7,5.60159,2.39994,5.60159,1.24145,0.0,0.0,0.0,125.011,519.83,418.728,0.0,0.0,0.0,33.187,0.0138,0.011116,0.0,Zn6H60C84N24,174
ZIF-77,5.04877,3.98778,4.84113,1.55277,310.531,1002.94,645.905,0.0,0.0,0.0,84.2169,0.0272,0.0175171,0.0,0.0,0.0,0.0,Zn10H40C60N60O40,210
ZIF-8,11.38754,3.42716,11.3792,0.924526,725.422,1478.88,1599.61,0.0,0.0,0.0,956.514,0.195,0.210919,0.0,0.0,0.0,0.0,Zn12H120C96N48,276
ZIF-90,11.02364,3.49366,11.02364,0.98837,809.651,1571.48,1589.97,0.0,0.0,0.0,992.308,0.1926,0.194866,0.0,0.0,0.0,0.0,Zn12H72C96N48O24,252
ZNGLUD,3.19455,2.66271,3.17912,1.65404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Zn4H28C20N4O16,72
ZNGLUD01,3.16473,2.59565,3.12072,1.68506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Zn4H28C20N4O16,72
Zn-DOBDC,11.71732,10.90932,11.71732,1.21946,213.52,1608.85,1319.31,0.0,0.0,0.0,402.925,0.3036,0.248962,0.0,0.0,0.0,6.0,Zn6H6C24O18,54
ZnBDC,6.21962,4.91955,6.21962,1.208,187.741,1487.73,1231.56,0.0,0.0,0.0,123.922,0.0982,0.0812914,0.0,0.0,0.0,4.0,Zn4H16C32O16,68
ZnBDCdabco,9.35639,7.5759,9.11637,0.82648,233.348,2033.33,2460.23,0.0,0.0,0.0,263.263,0.2294,0.277563,0.0,0.0,0.0,0.0,Zn2H20C22N2O8,54
ZnHBDC,9.54884,7.69489,9.54884,0.866753,377.978,1770.59,2042.79,0.0,0.0,0.0,503.803,0.236,0.272281,0.0,0.0,0.0,0.0,Zn4H32C40N6O16,98
ZnMOF-74,11.92244,11.08667,11.92244,1.17859,223.254,1625.82,1379.46,0.0,0.0,0.0,435.297,0.317,0.268965,0.0,0.0,0.0,6.0,Zn6H6C24O18,54
