# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,3.985999999999999851e-04,3.125600000000000080e-03,1.923100000000000070e-03,6.932100000000000067e-03
2.000000000000000000e+02,7.971000000000000221e-04,4.468399999999999976e-03,3.661800000000000211e-03,9.615300000000000236e-03
5.000000000000000000e+02,1.951499999999999893e-03,6.948400000000000409e-03,9.817100000000000479e-03,1.557769999999999988e-02
1.000000000000000000e+03,3.838700000000000011e-03,9.799499999999999184e-03,1.830170000000000061e-02,2.134629999999999861e-02
2.000000000000000000e+03,7.483100000000000342e-03,1.352429999999999952e-02,3.679029999999999800e-02,2.543449999999999878e-02
5.000000000000000000e+03,1.861310000000000048e-02,2.166629999999999945e-02,9.118479999999999641e-02,4.012820000000000276e-02
1.000000000000000000e+04,3.698459999999999942e-02,3.025539999999999827e-02,1.834929999999999894e-01,5.780980000000000146e-02
2.000000000000000000e+04,7.006819999999999715e-02,4.134349999999999831e-02,3.422821999999999809e-01,7.528500000000000469e-02
5.000000000000000000e+04,1.540159999999999862e-01,5.976320000000000243e-02,7.734961000000000197e-01,1.115164000000000016e-01
1.000000000000000000e+05,2.601006000000000151e-01,7.782970000000000166e-02,1.344880999999999993e+00,1.294021999999999950e-01
2.000000000000000000e+05,3.831621000000000055e-01,8.058719999999999772e-02,2.058756999999999948e+00,1.548200000000000132e-01
5.000000000000000000e+05,5.238289999999999891e-01,9.472719999999999752e-02,3.034434200000000192e+00,1.487201999999999968e-01
1.000000000000000000e+06,5.990904000000000229e-01,1.010408000000000001e-01,3.616647899999999805e+00,1.411904999999999966e-01
