# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,1.117000000000000046e-04,2.003500000000000072e-03,3.567999999999999991e-04,3.604299999999999952e-03
2.000000000000000000e+02,1.622999999999999877e-04,2.412699999999999827e-03,7.066999999999999931e-04,5.048799999999999989e-03
5.000000000000000000e+02,4.720999999999999828e-04,4.129299999999999811e-03,1.538899999999999947e-03,7.445099999999999635e-03
1.000000000000000000e+03,1.084799999999999914e-03,6.199800000000000103e-03,3.243499999999999855e-03,1.081769999999999954e-02
2.000000000000000000e+03,1.961500000000000136e-03,8.379899999999999155e-03,6.641700000000000381e-03,1.543150000000000077e-02
5.000000000000000000e+03,5.128399999999999972e-03,1.355430000000000003e-02,1.596530000000000171e-02,2.392599999999999935e-02
1.000000000000000000e+04,1.006929999999999978e-02,1.907469999999999999e-02,3.285690000000000138e-02,3.418029999999999680e-02
2.000000000000000000e+04,1.992959999999999871e-02,2.691110000000000030e-02,6.301080000000000569e-02,4.016379999999999950e-02
5.000000000000000000e+04,4.766900000000000304e-02,4.083669999999999661e-02,1.615562000000000109e-01,6.105529999999999985e-02
1.000000000000000000e+05,8.974100000000000132e-02,5.602089999999999848e-02,3.098032000000000008e-01,8.555050000000000154e-02
2.000000000000000000e+05,1.542598000000000025e-01,7.199750000000000594e-02,5.989455999999999669e-01,1.074699999999999961e-01
5.000000000000000000e+05,2.686999999999999944e-01,9.245109999999999439e-02,1.263325999999999949e+00,1.490517000000000092e-01
1.000000000000000000e+06,3.494877000000000122e-01,9.363040000000000251e-02,1.830521300000000018e+00,1.638615999999999961e-01
