# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,3.107000000000000170e-04,4.216300000000000082e-03,1.852499999999999980e-03,1.038170000000000065e-02
2.000000000000000000e+02,6.271000000000000098e-04,6.028799999999999958e-03,4.147999999999999778e-03,1.523240000000000011e-02
5.000000000000000000e+02,1.599399999999999954e-03,9.597100000000000769e-03,1.027510000000000055e-02,2.418390000000000123e-02
1.000000000000000000e+03,3.313799999999999992e-03,1.376939999999999935e-02,2.082070000000000101e-02,3.450589999999999907e-02
2.000000000000000000e+03,6.403299999999999791e-03,1.895159999999999900e-02,4.261360000000000148e-02,4.987899999999999973e-02
5.000000000000000000e+03,1.511930000000000045e-02,2.927540000000000003e-02,1.065771999999999969e-01,6.729449999999999321e-02
1.000000000000000000e+04,3.050320000000000115e-02,4.159369999999999734e-02,2.014237000000000111e-01,8.924769999999999925e-02
2.000000000000000000e+04,5.864760000000000112e-02,5.733049999999999952e-02,3.972667999999999755e-01,1.329384999999999872e-01
5.000000000000000000e+04,1.278029999999999999e-01,8.429409999999999681e-02,8.729921000000000486e-01,1.786574999999999969e-01
1.000000000000000000e+05,2.115227000000000079e-01,1.073766000000000026e-01,1.512616200000000077e+00,2.210141999999999940e-01
2.000000000000000000e+05,3.227346999999999855e-01,1.126622000000000040e-01,2.351653600000000122e+00,2.535429000000000155e-01
5.000000000000000000e+05,4.584488999999999925e-01,1.364684999999999926e-01,3.636863500000000027e+00,2.641344999999999943e-01
1.000000000000000000e+06,5.574455000000000382e-01,1.536328999999999889e-01,4.550681599999999882e+00,2.622238000000000069e-01
