# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,2.969000000000000068e-04,2.968800000000000171e-03,5.027000000000000218e-04,3.878799999999999956e-03
2.000000000000000000e+02,5.291999999999999612e-04,3.974300000000000055e-03,1.093599999999999911e-03,5.671400000000000052e-03
5.000000000000000000e+02,1.229499999999999907e-03,6.030100000000000043e-03,2.623599999999999804e-03,8.852999999999999758e-03
1.000000000000000000e+03,2.507699999999999860e-03,8.582299999999999304e-03,5.356399999999999877e-03,1.265849999999999961e-02
2.000000000000000000e+03,4.950699999999999719e-03,1.181220000000000013e-02,1.051290000000000037e-02,1.760770000000000043e-02
5.000000000000000000e+03,1.240349999999999960e-02,1.897019999999999956e-02,2.709539999999999865e-02,2.829629999999999992e-02
1.000000000000000000e+04,2.453299999999999925e-02,2.696190000000000045e-02,5.266719999999999735e-02,3.952560000000000101e-02
2.000000000000000000e+04,4.957580000000000320e-02,3.810700000000000198e-02,1.054106999999999961e-01,4.837260000000000171e-02
5.000000000000000000e+04,1.196612999999999982e-01,5.793269999999999670e-02,2.611060000000000048e-01,7.376969999999999361e-02
1.000000000000000000e+05,2.253925999999999985e-01,7.110589999999999966e-02,5.023758000000000390e-01,1.032580000000000026e-01
2.000000000000000000e+05,4.249944999999999973e-01,9.670170000000000154e-02,9.848506999999999678e-01,1.481049999999999867e-01
5.000000000000000000e+05,8.327280000000000237e-01,1.309082000000000023e-01,2.188517800000000069e+00,2.053876000000000035e-01
1.000000000000000000e+06,1.170441599999999971e+00,1.500251999999999974e-01,3.407609499999999958e+00,2.303412999999999988e-01
