# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,3.624999999999999750e-04,5.113499999999999990e-03,2.392399999999999822e-03,1.299130000000000076e-02
2.000000000000000000e+02,6.451999999999999619e-04,6.961600000000000080e-03,4.632599999999999739e-03,1.831440000000000151e-02
5.000000000000000000e+02,1.768899999999999900e-03,1.118549999999999926e-02,1.149090000000000007e-02,2.892449999999999882e-02
1.000000000000000000e+03,3.017399999999999943e-03,1.469559999999999964e-02,2.298599999999999949e-02,4.057159999999999933e-02
2.000000000000000000e+03,5.923099999999999719e-03,2.058540000000000023e-02,4.766009999999999691e-02,5.937850000000000072e-02
5.000000000000000000e+03,1.537679999999999950e-02,3.373400000000000010e-02,1.168084000000000067e-01,8.013330000000000453e-02
1.000000000000000000e+04,2.987630000000000147e-02,4.610729999999999690e-02,2.183053000000000077e-01,1.037412999999999946e-01
2.000000000000000000e+04,5.907899999999999957e-02,6.505279999999999396e-02,4.299455999999999833e-01,1.453502999999999878e-01
5.000000000000000000e+04,1.310623999999999956e-01,9.604390000000000149e-02,1.036177399999999915e+00,2.106902999999999970e-01
1.000000000000000000e+05,2.191850999999999938e-01,1.231627000000000000e-01,1.767232399999999926e+00,2.723882000000000247e-01
2.000000000000000000e+05,3.229241999999999946e-01,1.478000999999999898e-01,2.738423899999999911e+00,2.997868000000000199e-01
5.000000000000000000e+05,4.359513999999999889e-01,1.468441000000000052e-01,4.007143700000000308e+00,2.797842999999999858e-01
1.000000000000000000e+06,4.925933000000000117e-01,1.600216999999999890e-01,4.796408500000000075e+00,2.659816999999999876e-01
