# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,1.261000000000000022e-04,2.128399999999999910e-03,5.081999999999999929e-04,4.279599999999999724e-03
2.000000000000000000e+02,1.730000000000000038e-04,2.490899999999999885e-03,9.190000000000000035e-04,5.771899999999999947e-03
5.000000000000000000e+02,5.982000000000000121e-04,4.632700000000000012e-03,2.241599999999999843e-03,9.040799999999999878e-03
1.000000000000000000e+03,1.365899999999999970e-03,6.994099999999999623e-03,4.411199999999999670e-03,1.250609999999999916e-02
2.000000000000000000e+03,2.508300000000000200e-03,9.436200000000000490e-03,8.962899999999999340e-03,1.783289999999999875e-02
5.000000000000000000e+03,5.878000000000000412e-03,1.446500000000000043e-02,2.206680000000000100e-02,2.776160000000000086e-02
1.000000000000000000e+04,1.193259999999999980e-02,2.067379999999999912e-02,4.521109999999999712e-02,3.385910000000000308e-02
2.000000000000000000e+04,2.342899999999999844e-02,2.886439999999999839e-02,8.855540000000000633e-02,4.820320000000000160e-02
5.000000000000000000e+04,5.619939999999999658e-02,4.440970000000000334e-02,2.183106999999999964e-01,6.956800000000000483e-02
1.000000000000000000e+05,1.028917000000000026e-01,5.946099999999999997e-02,4.322100999999999860e-01,9.633469999999999533e-02
2.000000000000000000e+05,1.708243999999999874e-01,7.537699999999999956e-02,8.080483000000000526e-01,1.288635999999999948e-01
5.000000000000000000e+05,2.713069000000000175e-01,9.221340000000000092e-02,1.614025800000000066e+00,1.584283999999999970e-01
1.000000000000000000e+06,3.235289000000000081e-01,8.799750000000000627e-02,2.236408899999999811e+00,1.449129000000000111e-01
